STATE,CITY,LOCATION,ENERGY,,AREA,ESTABLISHED,DOWNLOADS,FULLY_BUILT_OUT_POWER,FULLY_BUILT_OUT_WHITESPACE,TOTAL_BUILDING_SIZE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,MAX_POWER_AREA,UPS_REDUNDANCY,COOLING_REDUNDANCY,STANDBY_POWER_REDUNDANCY,TIER_DESIGN,DSS_PCI_CERTIFIED,ISO27001_CERTIFIED,HIPAA,SOC_2_TYPE_II_CERTIFIED,SOC_3_TYPE2_CERTIFIED,NIST_800_53,CCTV_SURVEILLANCE,BIOMETRIC_ACCESS_CONTROL,CARD_ACCESS_CONTROL,ONSITE_SECURITY_STAFF,ONSITE_TECHNICAL_STAFF,YEAR_OPERATIONAL,ROOF_ACCESS,BUILDING_FLOORS,MAX_FLOOR_LOAD,MEET_ME_ROOM_MMR,INTERNET_EXCHANGE_POINTS,PEERING_NETWORKS,NETWORK_PROVIDERS,TENANTS_OFFERING_COLOCATION,CHILD_DATA_CENTER_LISTINGS,Source_File
FL,Miami,RadiusDC Miami I,9.2 MW,,"15,795 SQ.F.",EST. 2001,{},9.2 MW,"15,795 sq.f.","36,597 sq.f.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,,Tier 3,Yes,Yes,Yes,,,,,,,"Yes, 24/7",,2001,,,,Yes,,2,2,,,florida-flattened.csv
FL,Miami,Volico Miami 2,10 MW,,"5,000 SQ.F.",EST. 1925,{},10 MW,"5,000 sq.f.",,Yes,Yes,No,Yes,No,No,No,Yes,,N+1,N+1,N+1,,,,,,,,Yes,Yes,Yes,"Yes, 24/7",,1925,,,,,,,,,,florida-flattened.csv
FL,Miami,Raeden MIA2,3 MW,,"32,000 SQ.F.",EST. 2006,{},3 MW,"32,000 sq.f.",,Yes,Yes,No,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,"Yes, 24/7",,2006,Yes,,,Yes,,,,,2,florida-flattened.csv
FL,Orlando,CoreSite Orlando (OR1),7 MW,,"130,000 SQ.F.",EST. 1984,{},7 MW,"130,000 sq.f.",,Yes,Yes,No,Yes,No,,No,Yes,,,,,Tier 3,,,Yes,,,,,,,"Yes, 24/7",,1984,Yes,,,Yes,1,8,,,,florida-flattened.csv
FL,Orlando,Signal Hill Telecom Center,13 MW,,"115,000 SQ.F.",EST. 2000,{},13 MW,"115,000 sq.f.",,Yes,Yes,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,2000,,,,,,,,,2,florida-flattened.csv
ID, Coeur d'Alene,IonSwitch CDA01,,,,,{},,,,Yes,Yes,Yes,Yes,No,No,No,No,,N+1,N+1,N+1,,,,,,,,Yes,,,,,,,,,,,,,,,idaho-flattened.csv
ID, Coeur d'Alene,Fusion Connect - Coeur d Alene,,,,,{},,,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,2,,,idaho-flattened.csv
ID,Weiser,ADTAQ Idaho Datacenter,,,,,{},0.1 MW,,,Yes,Yes,Yes,No,No,No,No,Yes,,N,N,,,,,,,,,Yes,,Yes,"Yes, Biz-hours","Yes, Biz-hours",2025,Yes,,,,,,1,,,idaho-flattened.csv
ID,Boise,Ark Data Centers Boise 1,1 MW,,"10,000 SQ.F.",EST. 2014,{},1 MW,"10,000 sq.f.",,Yes,Yes,Yes,Yes,No,No,No,Yes,,N+1,N+1,N+1,,,,Yes,Yes,,,Yes,Yes,Yes,"Yes, 24/7",,2014,,,,,,5,,,,idaho-flattened.csv
ID,Boise,Tonaquint Boise Data Center,2 MW,,"8,500 SQ.F.",EST. 2000,{},2 MW,"8,500 sq.f.","45,000 sq.f.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,15 kW/sq.f.,,,,Tier 2,Yes,,,,,,Yes,Yes,,"Yes, 24/7",,2000,Yes,,,Yes,,1,,,,idaho-flattened.csv
